"author","date","text"
"Min jeong Kim","2년 전","서버분이 엄청 친절하시고 음식은 무난했어요. 치즈케잌은 기대 안 했는데 느끼하지도 않고 정말 맛있었습니다!!"
"Jung si","5개월 전","미국판 김밥천국입니다. 모든 메뉴가 고만고만합니다. 양이 꽤많으니 주문시 고려해서 주문하시길 추천합니다"
"JUDY","2년 전","예전에 치즈케잌을 너무 맛있게 먹은 기억이 있어서 또 방문 오리지널과 Reese’s 피넛버터 초코케잌을 주문 피넛버터 초코케잌은 진짜 한입만 먹어도 입이 저릴정도로 달았다ㅋㅋㅋㅋ…"
"Hyun","3년 전","모든 메뉴가 다 큽니다.. 3명이서 시켰다가 다 남김 미국사람들한테 여기 갔다고 하니까 급하게 다른 식당 추천해주더라구여 약간 김밥천국 느낌인지.."
"권기남","1년 전","음식사진을 못 찍었는데 생선까스 샐러드 스파게티 다 맛있어요. 저녁분위기에는 최고👍…"
"송용호","1년 전","여러 음식이 다맛있고 서비스 분위기"
"G","9년 전","치즈케익팩토리 어느 지점을 가든 저는 항상 미트볼 스파게티를 먹어요ㅋㅋ 여기 맛있었는데, 샌프란시스코 다운타운 점이 조금 더 맛있었어요. 치즈케익은 그로브몰이 더 맛있어요!! 너무맛있어! 직원들이 너무 너무 너무 친절해요💕💕💕 치즈케익 먹으러 또 와야징~!~!~!… "
"kyungjin kwon","4년 전","음식 맛은 좋았지만 너무 오래기다려야하고 서비스도 좋은편은 아니었음... "
"조샛별","4년 전","다들 치즈케이크만 맛있다고 해서 걱정했는데 양도 많고 맛있었다ㅎ 쉬림프 파스타 존맛탱"
"toby S","4년 전","치즈케익 칼로리 보고 못먹음.. 까르보나라는 먹지마세여 비주얼이 어휴.. stuffed mushroom beet and avocado salad 추천이여 "
"Kyungmo Jae","8개월 전","치즈케이크 진짜 맛있는데 주말에 앉을 자리가 없어요ㅜㅜ"
"sy H","6년 전","미국여행 중 유일하게 두번 방문한 곳이에여 ㅎㅎ 브런치로 딱!"
"Brenda Kim","1년 전","소문 보다는 맛이 그냥 그랬어요. 양은 엄청 많은데 맛은 그저그래서 남은거 싸 가려하니 직원들의 서비스가 너무 좋아서 고맙더라구요. 좋은 분위기 서비스 다 좋은데 음식도 더 맛있었으면 좋았겠다는 아쉬움이 있었습니다."
"JW Yang","1년 전","파마스 마켓 안에 있고, 주말이라 사람들이 엄청 많았어요 하지만 워낙 큰 레스토랑이라.. 음식은 양도 많고 무난해요…"
"NaRa KIM","6년 전","사람이 넘 많아서 대기도 해야하고 시끄러운게 흠이지만.. 미국식 패밀리 레스토랑 느낌이다. 케이크 종류 많은데 배불러서 한종류 밖에 못먹어서 아쉽다. 파스타 등 음식 모두 꾸덕하니 살찌는 맛 ㅎㅎ"
"정명모","2년 전","치즈케익, 당근, 초코케익을 맛보니, 케익의 찰기가 달콤한 맛으로 풍미가 더해집니다. 조각케익이 12~ 17 달러 정도입니다."
"하종인","7년 전","오리지날 치즈케익 개맛있음 길라델리초코맛은 별로였음. 다만 겁나 헤비한 맛이라 점심에 치즈케익 한조각에 커피마시면 저녁에도 배가 안고픔"
"LQQKATME","7년 전","미국에서 먹은것중에 그나마 맛있었다.... 그래도 전체적으로 좀 짭다 샐러드도 짭다 그래도 꼭 시켜야한다 친절한 스탭들은 좋움"
"윤홍국 (Hongkug yun)","9개월 전","그냥 좀 달아요 훅 ~가는 맛은 아니고 그냥 맛있는 정도"
"Jonathan Kim","6년 전","미국에 사는 친구와 여기서 저녁을 먹었죠^^ 분위기도 좋고 사람도 많고 좀 이른시간에 갈 것을 추천드려요."
"WOOCHEOL KIM","3년 전","패밀리 식당으로 추천합니다. 음식값도 매우 적당하고 서비스"
"메란","7년 전","JMT 양도 너무많고 친절쓰 "
"sumi kim","7년 전","식당도 넓고 음식도 정말 맛있었어요 ㅜㅜ 케익은 배불러서 포장해서 숙소에서 먹었는데 캬... 이거먹으러 또 미국가고싶어요..."
"RivailsLogan","7년 전","분위기 좋고 맛도 좋고"
"S Cho","6년 전","제발 한국에 지점 좀 내주세요 레스토랑이 힘들면 케이크라도 팔아주세요 ㅠㅠ 팝업스토어라도 자주 좀 열어주세요 ㅠ ㅠ"
"Rachel Kim","1년 전","아웃백 같음. 파스타 생각보다 훨씬 맛있고 양도 많음"
"조원준","1년 전","웨이팅 시스템이 체계적이지 않고 직원들이 불친절합니다"
"Guihyun Baek","7년 전","대기시간이길지만 번화가려니 이해함 맛있음"
"JIEUN LEE","7년 전","양이 진짜 많고 맛있네요~ 분위기도 좋습니다. 추천"
"Paul Kim","7년 전","식당 인테리어두 좋고 음식 맛도 좋고 서빙도 잘 하네요. "
